"""%s""","""%s"""
"%s Item(s)","%s Item(s)"
"-- Please Select --","-- Please Select --"
"10 Minutes","10 Minutes"
"15 Minutes","15 Minutes"
"30 Minutes","30 Minutes"
"60 Minutes","60 Minutes"
"Action","Action"
"Add All To Queue","Add All To Queue"
"Add Rule","Add Rule"
"Add To Cart","Add To Cart"
"Add to Cart","Add to Cart"
"Add to Compare","Add to Compare"
"Add to Queue","Add to Queue"
"Add to Wishlist","Add to Wishlist"
"Add to price calculation Number","Add to price calculation Number"
"Add to price calculation Type","Add to price calculation Type"
"Add to queue","Add to queue"
"Admin Reminder Emails as comma separated list","Admin Reminder Emails as comma separated list"
"All Products","All Products"
All products must use the same start and end dates,All products must use the same start and end dates
"All Websites","All Websites"
"Allow change QTY on Listing Page","Allow change QTY on Listing Page"
"Already registered?","Already registered?"
"Append Comments","Append Comments"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"As low as:","As low as:"
"Authorize And Charge","Authorize And Charge"
"Authorize Only","Authorize Only"
"Authorize only - if using authorize.net it will only authorize the rental deposit","Authorize only - if using authorize.net it will only authorize the rental deposit"
"Availability:","Availability:"
"Available Inventory","Available Inventory"
"Available Time","Available Time"
"Available","Available"
"Booked Inventory","Booked Inventory"
"Broken","Broken"
"Busy Time","Busy Time"
"Buy","Buy"
"By default is yes, is useful usually for admins to see this","By default is yes, is useful usually for admins to see this"
"CSV","CSV"
"Calendars to Show on Product Page","Calendars to Show on Product Page"
"Canceled","Canceled"
"Cannot add the item to shopping cart","Cannot add the item to shopping cart"
"Cannot remove deposit.","Cannot remove deposit."
"Categories","Categories"
"Category ID To Show For Memberships","Category ID To Show For Memberships"
"Category Navigation:","Category Navigation:"
"Checked Out Inventory","Checked Out Inventory"
"Checkout as Guest","Checkout as Guest"
"Checkout as a Guest or Register","Checkout as a Guest or Register"
"Choose a selection...","Choose a selection..."
"Chosen quantity is not available","Chosen quantity is not available"
"Comments History","Comments History"
"Continue","Continue"
"Control + Click the statuses you want to have mean that inventory reserved. Is only active if the “Reserve inventory by status” setting is set to yes","Control + Click the statuses you want to have mean that inventory reserved. Is only active if the “Reserve inventory by status” setting is set to yes"
"Create Shipping Label","Create Shipping Label"
"Create an Account","Create an Account"
"Current Stock","Current Stock"
"Custom Options","Custom Options"
"Customer Address","Customer Address"
"Customer Name","Customer Name"
"Customers Group","Customers Group"
"Daily","Daily"
"Date Added","Date Added"
"Date Start","Date Start"
"Date end","Date end"
"Day details","Day details"
"Day of Week","Day of Week"
"Day","Day"
"Days of week you can't rent something","Days of week you can't rent something"
"Days","Days"
"Delete Tier","Delete Tier"
"Delete","Delete"
"Deposit Amount: ","Deposit Amount: "
"Deposit price is","Deposit price is"
"Deposit refunded to customer","Deposit refunded to customer"
"Deposit","Deposit"
"Disabled Days of Week","Disabled Days of Week"
"Disabled From","Disabled From"
"Disabled To","Disabled To"
Download Rental Contract",Download Rental Contract
"Disabled","Disabled"
"Dropoff & Pickup Dates MUST BE Different and Dropoff Date MUST BE BIGGER Pickup Date","Dropoff & Pickup Dates MUST BE Different and Dropoff Date MUST BE BIGGER Pickup Date"
"Dropoff Date:","Dropoff Date:"
"Easy access to your order history and status","Easy access to your order history and status"
"Edit","Edit"
"Email Address","Email Address"
"Email Copy of Shipment","Email Copy of Shipment"
"Email Template with a list of users to be billed the day","Email Template with a list of users to be billed the day"
"Enabled","Enabled"
"End Date:","End Date:"
"End Time:","End Time:"
"End","End"
"Equipment","Equipment"
"Estimate Dates is Wrong","Estimate Dates is Wrong"
"Excl. Tax:","Excl. Tax:"
"Fast and easy check out","Fast and easy check out"
"Fee Refunded","Fee Refunded"
"First delivery:","First delivery:"
"For Product:","For Product:"
"For all","For all"
"For future use, leave set to no","For future use, leave set to no"
"Forgot Your Password?","Forgot Your Password?"
"Friday","Friday"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"From","From"
"Generate","Generate"
"Gift Message","Gift Message"
"Global Calendar Reservation Padding Day's","Global Calendar Reservation Padding Day's"
"Global Dates Excluded","Global Dates Excluded"
"Global Dates","Global Dates"
"Go to Wishlist","Go to Wishlist"
"Go to date","Go to date"
"Go","Go"
"Hello, %s!","Hello, %s!"
"Hide End Date on Product Page","Hide End Date on Product Page"
"Home","Home"
"Hotel / Property Rental Mode","Hotel / Property Rental Mode"
"Hour For Next Say","Hour For Next Say"
"Hour","Hour"
"Hours","Hours"
"How long after a rental is returned is it not available for. This is to account for cleaning, shipping, etc. For example if the rental ends on June 1 and turnover after is set to 2 days, then the inventory will not be available on June 2 and 3","How long after a rental is returned is it not available for. This is to account for cleaning, shipping, etc. For example if the rental ends on June 1 and turnover after is set to 2 days, then the inventory will not be available on June 2 and 3"
